actual,proposed
4.38004785152e-07,0.0
4.38004785152e-07,0.0
3.065621504e-07,0.0
3.06398176128e-07,0.0
4.6231178048e-07,0.0
4.6231178048e-07,0.0
2.8322040384e-07,0.0
5.008935676800001e-07,0.0
2.61790245024e-07,0.0
2.61790245024e-07,0.0
2.6220505343999996e-07,0.0
2.63033016224e-07,0.0
2.63033016224e-07,0.0
2.63444650656e-07,0.0
2.64268858304e-07,0.0
2.64268858304e-07,0.0
2.64681073888e-07,0.0
2.65513060032e-07,0.0
2.65513060032e-07,0.0
2.65927063776e-07,0.0
2.66754356e-07,0.0
2.66754356e-07,0.0
2.6717113139199997e-07,0.0
2.67996769568e-07,0.0
2.67996769568e-07,0.0
2.68414841376e-07,0.0
2.6881431632e-07,0.0
2.6881431632e-07,0.0
2.6879330544e-07,0.0
2.6875499411199997e-07,0.0
2.6875499411199997e-07,0.0
2.68734922016e-07,0.0
2.6871449228799995e-07,0.0
2.68671397632e-07,0.0
2.68671397632e-07,0.0
2.68660847488e-07,0.0
2.72984260736e-07,0.0
2.72984260736e-07,0.0
2.84048947776e-07,0.0
4.7956797152e-07,0.0
4.7956797152e-07,0.0
2.9699750608e-07,0.0
2.87942844992e-07,0.0
2.87942844992e-07,0.0
2.94442583072e-07,0.0
3.02090677504e-07,0.0
4.650154784e-07,0.0
4.650154784e-07,0.0
3.02349647776e-07,0.0
4.1732730758399996e-07,0.0
4.1732730758399996e-07,0.0
3.5881898060799997e-07,0.0
3.5849881056e-07,0.0
3.5849881056e-07,0.0
4.05216770464e-07,0.0
3.46706163584e-07,0.0
3.46706163584e-07,0.0
4.03937565504e-07,0.0
3.1720898915199996e-07,0.0
3.1720898915199996e-07,0.0
4.27347351552e-07,0.0
3.1731154012799997e-07,0.0
3.1731154012799997e-07,0.0
3.17154405568e-07,0.0
3.1677433216e-07,0.0
3.1677433216e-07,0.0
3.16599047776e-07,0.0
2.60235037568e-07,0.0
2.60235037568e-07,0.0
2.4915912982399996e-07,0.0
2.52026533792e-07,0.0
2.69039803296e-07,0.0
2.69039803296e-07,0.0
2.9719509776000004e-07,0.0
2.9719509776000004e-07,0.0
3.14556164384e-07,0.0
3.1419567132799997e-07,0.0
3.1419567132799997e-07,0.0
3.14009792096e-07,0.0
2.96210805088e-07,0.0
2.96210805088e-07,0.0
2.8045058870399996e-07,0.0
2.48195356288e-07,0.0
2.48195356288e-07,0.0
2.52378488384e-07,0.0
2.8372479907199996e-07,0.0
2.8372479907199996e-07,0.0
3.17101207808e-07,0.0
3.9034307910399996e-07,0.0
3.9034307910399996e-07,0.0
4.25407332064e-07,0.0
4.25789595968e-07,0.0
4.25789595968e-07,0.0
4.2605080144e-07,0.0
4.26306687136e-07,0.0
3.94579230144e-07,0.0
3.94579230144e-07,0.0
3.0233833766400003e-07,0.0
2.5324623772799997e-07,0.0
2.5324623772799997e-07,0.0
2.5347168e-07,0.0
2.57587085536e-07,0.0
2.57587085536e-07,0.0
2.58016154528e-07,0.0
2.5844522352e-07,0.0
2.5930309328e-07,0.0
2.5930309328e-07,0.0
2.5973694560000003e-07,0.0
2.6014531664e-07,0.0
2.6014531664e-07,0.0
2.59169115392e-07,0.0
6.2863748288e-07,0.0
6.2863748288e-07,0.0
2.64188078176e-07,0.0
2.86313294784e-07,0.0
2.86313294784e-07,0.0
3.01179207648e-07,0.0
3.36872088256e-07,0.0
3.36872088256e-07,0.0
3.2709805039999996e-07,0.0
3.17550348896e-07,0.0
2.722730648e-07,0.0
2.722730648e-07,0.0
2.58365382176e-07,0.0
2.5285919049599997e-07,0.0
2.5285919049599997e-07,0.0
2.61725111296e-07,0.0
7.418025296e-07,0.0
7.418025296e-07,0.0
4.7669573952e-07,0.0
3.0294827903999997e-07,0.0
3.0294827903999997e-07,0.0
3.21018485216e-07,0.0
4.546146457599999e-07,0.0
3.31946467424e-07,0.0
3.31946467424e-07,0.0
